PG.ID,site,level,C14mean,C14sdev,C14.COV,lab.num,material,calib.curve,calBPmedian,group,region,notes
,Rambla Legunova,NA,5440,35,0.00643382352941176,GrA-51860,NA,intcal20,6208,Neolithic,Ebro,
,Rambla Legunova,NA,5670,60,0.0105820105820106,GrA-52691,NA,intcal20,6499,Neolithic,Ebro,
,Rambla Legunova,NA,6295,40,0.00635424940428912,GrA-51971,NA,intcal20,7210,Neolithic,Ebro,
,Rambla Legunova,NA,7225,40,0.0055363321799308,GrA-64001,NA,intcal20,8058,Mesolithic,Ebro,
,Rambla Legunova,NA,7235,45,0.00621976503109883,GrA-47886,NA,intcal20,8058,Mesolithic,Ebro,
,Rambla Legunova,NA,7260,45,0.00619834710743802,GrA-61768,NA,intcal20,8088,Mesolithic,Ebro,
,Rambla Legunova,NA,8200,50,0.00609756097560976,GrA-24292,NA,intcal20,9212,Mesolithic,Ebro,
,Rambla Legunova,NA,8250,60,0.00727272727272727,GrA-22086,NA,intcal20,9241,Mesolithic,Ebro,
,Revilla,NA,5642,96,0.0170152428216944,KIA-13943,NA,intcal20,6426,Neolithic,Ebro,
,Revilla,NA,6120,60,0.00980392156862745,UtC-13348,NA,intcal20,6999,Neolithic,Ebro,
,Revilla,NA,6156,33,0.00536062378167641,KIA-21353,NA,intcal20,7066,Neolithic,Ebro,
,Revilla,NA,6158,31,0.00503410198116272,KIA-21349,NA,intcal20,7058,Neolithic,Ebro,
,Revilla,NA,6177,31,0.00501861745183746,KIA-21354,NA,intcal20,7090,Neolithic,Ebro,
,Revilla,NA,6202,31,0.00499838761689778,KIA-21346,NA,intcal20,7102,Neolithic,Ebro,
,Revilla,NA,6210,60,0.00966183574879227,UtC-13350,NA,intcal20,7092,Neolithic,Ebro,
,Revilla,NA,6230,30,0.00481540930979133,KIA-21355,NA,intcal20,7123,Neolithic,Ebro,
,Revilla,NA,6240,50,0.00801282051282051,UtC-13294,NA,intcal20,7128,Neolithic,Ebro,
,Revilla,NA,6245,34,0.00544435548438751,KIA-21359,NA,intcal20,7138,Neolithic,Ebro,
,Revilla,NA,6250,50,0.008,UtC-13295,NA,intcal20,7166,Neolithic,Ebro,
,Revilla,NA,6250,50,0.008,UtC-13296,NA,intcal20,7166,Neolithic,Ebro,
,Revilla,NA,6271,31,0.0049433902088981,KIA-21357,NA,intcal20,7169,Neolithic,Ebro,
,Revilla,NA,6289,31,0.00492924153283511,KIA-21351,NA,intcal20,7187,Neolithic,Ebro,
,Revilla,NA,6313,48,0.00760335814984952,UtC-13347,NA,intcal20,7212,Neolithic,Ebro,
,Revilla,NA,6355,30,0.00472069236821401,KIA-21356,NA,intcal20,7294,Neolithic,Ebro,
,Revilla,NA,6365,36,0.00565593087195601,KIA-21358,NA,intcal20,7296,Neolithic,Ebro,
,Revilla,NA,6385,35,0.00548159749412686,KIA-13932,NA,intcal20,7300,Neolithic,Ebro,
,Revilla,NA,6405,36,0.00562060889929742,KIA-13937,NA,intcal20,7314,Neolithic,Ebro,
,Revilla,NA,6415,36,0.00561184723304754,KIA-13942,NA,intcal20,7338,Neolithic,Ebro,
,Revilla,NA,6446,39,0.00605026372944462,KIA-13945,NA,intcal20,7367,Neolithic,Ebro,
,Revilla,NA,6449,37,0.00573732361606451,KIA-13948,NA,intcal20,7367,Neolithic,Ebro,
,Revilla,NA,6468,40,0.00618429189857761,KIA-13933,NA,intcal20,7386,Neolithic,Ebro,
,Revilla,NA,6499,42,0.00646253269733805,KIA-13938,NA,intcal20,7415,Neolithic,Ebro,
,Revilla,NA,6568,37,0.00563337393422655,KIA-13940,NA,intcal20,7460,Mesolithic,Ebro,
,Revilla,NA,6691,48,0.00717381557315797,KIA-13946,NA,intcal20,7557,Mesolithic,Ebro,
,Revilla,NA,6755,57,0.00843819393042191,KIA-13939,NA,intcal20,7620,Mesolithic,Ebro,
,Revilla,NA,6772,47,0.00694034258712345,KIA-13934,NA,intcal20,7634,Mesolithic,Ebro,
,Revilla,NA,6809,37,0.00543398443236892,KIA-13947,NA,intcal20,7678,Mesolithic,Ebro,
,Revilla,NA,6983,45,0.00644422168122583,KIA-13935,NA,intcal20,7816,Mesolithic,Ebro,
,Revilla,NA,7014,37,0.00527516395779869,KIA-13944,NA,intcal20,7826,Mesolithic,Ebro,
,Revilla,NA,7165,37,0.00516399162595953,KIA-13941,NA,intcal20,8006,Mesolithic,Ebro,
,Riols,NA,6040,100,0.0165562913907285,GrN-13976,NA,intcal20,6894,Neolithic,Ebro,
,Samitiel,NA,5130,20,0.00389863547758285,GrN-26150,NA,intcal20,5864,Neolithic,Ebro,
